Designation "Thresholded By (cm^-3)" "Threshold Level (cm^-3)" "Skeleton Index" "Length (pc)" "Mass (Solar)" "NHTOT a1" "NHTOT sigma 1" "NHTOT a2" "NHTOT sigma 2" "NHTOT a" "NHTOT sigma" "NCO a" "NCO sigma" "NH2 a" "NH2 sigma" "NH1 a" "NH1 sigma" "NHTOT Max (cm^-3)" "NHTOT Median (cm^-3)" "NHTOT Mean (cm^-3)" "NCO Max (cm^-3)" "NCO Median (cm^-3)" "NCO Mean (cm^-3)" "NH2 Max (cm^-3)" "NH2 Median (cm^-3)" "NH2 Mean (cm^-3)" "NH1 Max (cm^-3)" "NH1 Median (cm^-3)" "NH1 Mean (cm^-3)" "CO Dark?" Molecular? Atomic? "Core Shifted?" "Core Thresholded?" "Thresholded Core (cm^-3)" "First 2 pc ignored?"
x1470y1400z1400 nht 35.000000 0 65 5857 6.9e+01 8.3e-01 3.3e+01 1.8e+00 9.8e+01 1.1e+00 2.3e-06 4.2e-01 4.6e+01 1.1e+00 5.1e+00 4.2e-01 3.8e+02 4.6e+01 7.7e+01 4.6e-04 6.4e-08 2.0e-05 1.8e+02 2.1e+01 3.6e+01 1.8e+01 3.6e+00 4.9e+00 True True False False True "> 35" False
x1470y1400z1400 nht 35.000000 1 36 2294 6.4e+01 1.1e+00 3.2e+01 2.0e+00 9.3e+01 1.4e+00 5.1e-07 6.8e-01 4.0e+01 1.3e+00 6.3e+00 6.8e-01 9.6e+03 7.9e+01 4.2e+02 1.3e+00 2.9e-07 4.8e-02 4.8e+03 3.8e+01 2.1e+02 2.3e+01 4.7e+00 8.4e+00 True True False False True "> 35" False
