col0 Designation "Thresholded By (cm^-3)" "Threshold Level (cm^-3)" "Skeleton Index" "Length (pc)" "Mass (Solar)" "NHTOT a1" "NHTOT sigma 1" "NHTOT a2" "NHTOT sigma 2" "NHTOT a" "NHTOT sigma" "NCO a" "NCO sigma" "NH2 a" "NH2 sigma" "NH1 a" "NH1 sigma" "NHTOT Max (cm^-3)" "NHTOT Median (cm^-3)" "NHTOT Mean (cm^-3)" "NCO Max (cm^-3)" "NCO Median (cm^-3)" "NCO Mean (cm^-3)" "NH2 Max (cm^-3)" "NH2 Median (cm^-3)" "NH2 Mean (cm^-3)" "NH1 Max (cm^-3)" "NH1 Median (cm^-3)" "NH1 Mean (cm^-3)" "CO Dark?" Molecular? Atomic? "Core Shifted?" "Core Thresholded?" "Thresholded Core (cm^-3)" "First 2 pc ignored?"
"" x1470y1400z1395 nht 35.0 4 76 5812 23.0 2.6 9.5 2.6 33.0 2.6 3.6e-09 1.6 10.0 2.2 19.0 1.6 140.0 20.0 27.0 1.9e-06 5.9e-10 7.9e-08 50.0 4.7 7.1 38.0 9.9 12.0 True True False False True "> 35" True
"" x1470y1400z1395 nht 35.0 5 88 7044 33.0 3.0 1.4 6.2 34.0 3.2 2.3e-09 1.6 2.8 2.5 29.0 1.6 89.0 6.6 18.0 1.1e-07 1.8e-11 6.4e-09 10.0 0.44 1.6 74.0 5.6 15.0 True False True False True "> 35" True
"" x1470y1400z1395 nht 35.0 6 52 1436 23.0 2.3 0.45 7.2 22.0 2.4 2.9e-10 0.9 2.9 1.3 22.0 0.9 58.0 14.0 18.0 3.2e-09 6e-12 2.5e-10 3.9 0.26 0.63 53.0 13.0 16.0 True False True False True "> 35" True
"" x1470y1400z1395 nht 35.0 7 19 2029 65.0 0.11 38.0 2.3 40.0 2.3 4.6e-09 1.8 13.0 2.3 13.0 1.8 1400.0 19.0 110.0 0.16 1.4e-09 0.0081 670.0 5.4 48.0 120.0 7.5 15.0 True True False False True "> 35" True
"" x1470y1400z1395 nht 35.0 11 69 5885 55.0 1.8 5.1 4.9 48.0 2.1 3e-08 0.93 11.0 1.5 30.0 0.93 540.0 52.0 83.0 0.00028 7.1e-09 9.9e-06 35.0 5.5 8.7 470.0 31.0 66.0 True False True False True "> 35" True
"" x1470y1400z1395 nht 35.0 12 26 1964 56.0 0.00045 1.2e-05 0.00019 35.0 1.7 8.2e-10 1.2 6.7 1.4 22.0 1.2 360.0 18.0 67.0 3.8e-05 2.1e-11 3e-06 76.0 0.32 12.0 200.0 13.0 43.0 True False True False True "> 35" True
"" x1470y1400z1395 nht 35.0 13 17 699 21.0 0.29 11.0 2.9 11.0 2.9 6.6e-10 2.1 1.7 2.3 8.2 2.1 34.0 4.4 8.2 2.7e-09 5.6e-13 3.3e-10 4.6 0.27 0.89 25.0 3.6 6.2 True False True False True "> 35" True
"" x1470y1400z1395 nht 35.0 14 36 3668 34.0 2.1e-05 15.0 3.2 15.0 3.2 3.4e-10 2.2 5.1 2.4 7.3 2.2 390.0 8.1 43.0 0.01 7.3e-11 0.00044 170.0 1.7 16.0 48.0 5.2 11.0 True True False False True "> 35" True
"" x1470y1400z1395 nht 35.0 16 25 1454 19.0 3.6e-07 2.7e-08 1.4e-07 1.4 3.9 1.5e-14 5.8 0.13 3.3 1.1 5.8 19.0 4.2 4.8 3.7e-10 8.5e-13 2.8e-11 2.1 0.3 0.4 15.0 3.4 3.9 True False True False True "> 35" True
"" x1470y1400z1395 nht 35.0 17 32 753 23.0 0.36 15.0 2.3 15.0 2.3 2.5e-11 2.0 3.7 2.1 7.6 2.0 38.0 5.7 9.2 3.9e-09 4.8e-12 2.8e-10 11.0 1.2 2.3 16.0 3.3 4.6 True True False False True "> 35" True
"" x1470y1400z1395 nht 35.0 18 24 1054 32.0 2.3 4.6 4.7 33.0 2.7 1.8e-10 1.6 2.0 1.7 32.0 1.6 55.0 17.0 21.0 7.9e-09 4.3e-11 1.1e-09 3.5 0.61 1.1 48.0 14.0 18.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 0 145 10574 28.0 1.6 7.9 3.7 24.0 2.4 3.3e-09 1.1 4.2 2.1 17.0 1.1 130.0 15.0 23.0 1.5e-06 1.4e-10 2.2e-08 34.0 1.7 3.3 66.0 12.0 16.0 True True False False True "> 35" True
"" x1465y1405z1395 nht 35.0 1 38 2503 27.0 2.2 3.6 10.0 23.0 3.1 4.1e-10 1.3 8.5 1.2 20.0 1.3 75.0 11.0 16.0 9.4e-09 1.4e-11 7.2e-10 3.8 0.43 0.85 67.0 9.2 14.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 2 16 559 43.0 1.3 13.0 5.1 19.0 4.2 5.2e-07 0.59 0.72 1.8 19.0 0.59 19.0 9.4 9.9 2.1e-11 2.9e-12 4.7e-12 0.27 0.093 0.11 18.0 9.2 9.6 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 3 53 3742 38.0 2.0 7.0 5.6 33.0 2.8 2.3e-09 1.1 0.98 2.4 30.0 1.1 76.0 25.0 26.0 1.2e-08 1.6e-10 9.1e-10 3.3 0.63 0.77 72.0 24.0 25.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 4 70 5519 60.0 1.4 12.0 3.7 38.0 2.3 2.2e-08 0.9 3.6 1.7 32.0 0.9 190.0 9.7 29.0 2.1e-06 4.3e-11 8.2e-08 19.0 0.43 2.1 150.0 9.2 24.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 6 24 2019 27.0 0.35 13.0 4.1 13.0 4.1 4e-11 2.8 0.74 3.6 12.0 2.8 38.0 6.8 9.7 4.5e-09 1.1e-11 2.4e-10 3.3 0.29 0.55 31.0 6.4 8.6 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 7 125 13273 28.0 2.3 13.0 1.3 35.0 2.1 5.2e-08 0.71 2.5 1.9 31.0 0.71 24.0 3.7 6.0 1.3e-09 2.3e-12 7e-11 1.8 0.24 0.37 20.0 3.1 5.2 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 8 169 63898 58.0 2.0 3.1 7.1 54.0 2.2 2.4e-08 1.2 3.8 1.7 47.0 1.2 370.0 14.0 30.0 0.0016 6e-11 1.1e-05 45.0 0.29 1.7 280.0 14.0 27.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 9 49 4671 28.0 1.9 5.1 4.2 26.0 2.4 1.8e-10 1.4 0.8 1.9 26.0 1.4 94.0 20.0 27.0 6e-08 2.1e-11 4.3e-09 4.5 0.25 0.75 86.0 20.0 26.0 True False True False True "> 35" True
"" x1465y1405z1395 nht 35.0 11 45 2603 20.0 1.2e-38 0.0 0.0 15.0 1.8 3.6e-09 0.77 6.2 1.7 4.0 0.77 72.0 4.4 14.0 1.3e-07 7.1e-12 8.6e-09 32.0 1.3 5.1 11.0 1.7 3.6 True True False False True "> 35" True
