col0 Designation "Thresholded By (cm^-3)" "Threshold Level (cm^-3)" "Skeleton Index" "Length (pc)" "Mass (Solar)" "NHTOT a1" "NHTOT sigma 1" "NHTOT a2" "NHTOT sigma 2" "NHTOT a" "NHTOT sigma" "NCO a" "NCO sigma" "NH2 a" "NH2 sigma" "NH1 a" "NH1 sigma" "NHTOT Max (cm^-3)" "NHTOT Median (cm^-3)" "NHTOT Mean (cm^-3)" "NCO Max (cm^-3)" "NCO Median (cm^-3)" "NCO Mean (cm^-3)" "NH2 Max (cm^-3)" "NH2 Median (cm^-3)" "NH2 Mean (cm^-3)" "NH1 Max (cm^-3)" "NH1 Median (cm^-3)" "NH1 Mean (cm^-3)" "CO Dark?" Molecular? Atomic? "Core Shifted?" "Core Thresholded?" "Thresholded Core (cm^-3)" "First 2 pc ignored?"
"" x1465y1400z1400 nht 35.0 13 43 3039 48.0 1.2 14.0 2.9 29.0 2.2 6.5e-08 0.64 3.3 1.1 23.0 0.64 130.0 28.0 34.0 4e-07 9.9e-10 1.9e-08 13.0 4.1 4.7 120.0 16.0 24.0 True False True False True "> 35" True
"" x1465y1400z1400 nht 35.0 14 36 2768 51.0 1.3 10.0 4.4 23.0 2.9 1.6e-08 0.82 12.0 1.1 22.0 0.82 590.0 23.0 42.0 0.00075 5.1e-10 2.2e-05 100.0 1.6 5.1 380.0 20.0 32.0 True False True False True "> 35" True
"" x1465y1400z1400 nht 35.0 15 16 302 17.0 0.95 16.0 2.8 18.0 2.7 7.4e-11 1.6 2.9 1.7 16.0 1.6 58.0 30.0 34.0 1.8e-08 1.4e-09 4.2e-09 12.0 5.1 5.7 36.0 24.0 23.0 True False True False True "> 35" True
"" x1465y1400z1400 nht 35.0 16 59 4557 26.0 1.3 5.1 3.9 12.0 2.6 4.9e-07 0.55 310.0 0.72 14.0 0.55 41.0 5.0 9.3 1.3e-08 3.1e-12 -9.5e-09 12.0 0.86 1.9 17.0 3.0 5.0 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 17 20 564 16.0 2.1 1.1 9.5 15.0 2.4 8.4e-12 2.0 0.24 2.0 16.0 2.0 42.0 10.0 12.0 6.7e-10 2.8e-12 4.3e-11 0.86 0.1 0.18 40.0 10.0 12.0 True False True False True "> 35" True
"" x1465y1400z1400 nht 35.0 18 69 10210 40.0 1.9 3.3 6.3 35.0 2.3 4.6e-09 1.4 13.0 1.8 16.0 1.4 150.0 31.0 38.0 1.4e-05 1.1e-08 3.5e-07 55.0 9.0 12.0 41.0 12.0 14.0 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 19 76 5527 30.0 6.3e-06 3.2e-07 2.7e-06 56.0 1.2 8.4e-07 0.53 19.0 1.0 10.0 0.53 140.0 8.2 19.0 3.1e-06 1.4e-11 7.5e-08 58.0 0.94 6.2 39.0 4.0 6.0 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 22 37 1965 17.0 1.2e-38 0.0 0.0 2.9 3.1 3.4e-13 4.8 0.25 3.1 2.1 4.8 35.0 3.5 6.2 2.5e-08 3.7e-12 1.5e-09 13.0 0.71 2.0 9.7 1.8 2.1 True True False False True "> 35" True
"" x1465y1400z1400 nht 35.0 23 125 23166 36.0 1.6 6.4 4.7 26.0 2.5 6e-08 1.1 13.0 2.4 0.71 1.1 170.0 8.4 21.0 0.00096 2.7e-10 1.1e-05 85.0 2.7 9.3 14.0 0.93 2.5 True True False False True "> 35" True
"" x1470y1400z1400 nht 35.0 0 65 5857 34.0 1.7e-05 7.8e-07 8e-06 33.0 1.8 1.8e-07 0.79 16.0 1.7 2.7 0.79 380.0 46.0 77.0 0.00046 6.4e-08 2e-05 180.0 21.0 36.0 18.0 3.6 4.9 True True False False True "> 35" True
"" x1470y1400z1400 nht 35.0 1 36 2294 49.0 1.7 6.1 1.7 55.0 1.7 1.8e-07 0.77 34.0 1.3 10.0 0.77 9600.0 79.0 420.0 1.3 2.9e-07 0.048 4800.0 38.0 210.0 23.0 4.7 8.4 True True False False True "> 35" True
"" x1465y1405z1400 nht 35.0 0 207 47893 78.0 1.4 9.3 4.4 47.0 2.2 3e-07 0.83 9.5 1.9 26.0 0.83 370.0 17.0 44.0 0.014 1.3e-09 7.9e-05 150.0 3.4 10.0 140.0 9.7 23.0 True True False False True "> 35" True
"" x1465y1405z1400 nht 35.0 1 385 88613 44.0 2.1 5.9 5.9 41.0 2.6 2.2e-08 1.1 2.0 2.1 38.0 1.1 780.0 11.0 32.0 0.0012 3e-11 4.6e-06 61.0 0.4 1.6 650.0 10.0 29.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 3 80 5343 31.0 2.2 9.0 4.8 34.0 3.0 8.3e-10 1.5 0.81 2.2 34.0 1.5 130.0 16.0 21.0 1.3e-07 6.2e-12 3.2e-09 4.3 0.14 0.42 120.0 15.0 20.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 4 128 33625 69.0 1.9 6.3 8.7 56.0 2.5 2.1e-07 1.8 12.0 2.0 31.0 1.8 690.0 21.0 75.0 0.079 8.5e-10 0.003 250.0 1.3 20.0 180.0 19.0 34.0 True True False False True "> 35" True
"" x1465y1405z1400 nht 35.0 5 23 1030 41.0 1.8 14.0 3.9 94.0 1.7 9.1e-09 1.1 5.6 1.3 82.0 1.1 44.0 26.0 27.0 2e-09 2.1e-10 4.8e-10 2.1 0.83 0.86 40.0 25.0 26.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 7 39 1452 22.0 2.5 5.1 2.5 27.0 2.5 2.4e-11 1.9 0.15 2.4 27.0 1.9 36.0 7.8 10.0 5.9e-11 2.4e-13 7.5e-12 0.19 0.021 0.042 35.0 7.7 9.9 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 8 21 1306 45.0 1.7 0.95 6.5 43.0 1.8 2.1e-08 1.0 17.0 1.8 4.5 1.0 240.0 32.0 40.0 1.4e-05 1.3e-08 6.9e-07 110.0 14.0 17.0 15.0 3.2 5.0 True True False False True "> 35" True
"" x1465y1405z1400 nht 35.0 9 66 6869 45.0 2.3 3.2 6.2 44.0 2.5 2.7e-10 1.6 0.36 2.2 44.0 1.6 75.0 26.0 32.0 1.1e-08 8.8e-11 1.3e-09 1.9 0.2 0.34 74.0 25.0 31.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 11 17 902 38.0 1.5 13.0 5.4 23.0 4.0 1.1e-10 1.7 0.43 2.3 22.0 1.7 46.0 7.6 13.0 7.6e-10 2.2e-12 8.7e-11 0.8 0.059 0.16 45.0 7.4 12.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 12 36 5309 44.0 1.3 12.0 4.2 22.0 3.1 3.3e-09 1.1 2.9 3.1 17.0 1.1 75.0 18.0 21.0 3.4e-07 4.3e-10 1.9e-08 25.0 2.7 4.4 33.0 7.6 12.0 True True False False True "> 35" True
"" x1465y1405z1400 nht 35.0 13 23 952 41.0 1.7 1.3 23.0 33.0 1.9 8e-08 0.61 1.6 1.3 31.0 0.61 21.0 7.4 9.0 5.4e-11 3.4e-13 5.2e-12 0.35 0.046 0.1 21.0 7.2 8.7 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 14 48 37131 27.0 3.2 9.3 3.2 36.0 3.2 1.1e-06 1.2 6.3 3.2 21.0 1.2 69.0 9.3 16.0 3.3e-05 1.9e-10 1.4e-06 18.0 1.1 3.1 56.0 6.0 10.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 15 162 10633 29.0 2.4 4.5 6.6 29.0 3.1 1.9e-10 1.3 0.17 2.3 29.0 1.3 160.0 28.0 34.0 7.6e-07 6.6e-11 8.1e-09 5.5 0.13 0.38 140.0 28.0 33.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 16 30 1989 29.0 2.9 13.0 1.9 39.0 2.7 3.5e-08 0.63 1.4 0.99 39.0 0.63 37.0 14.0 15.0 6.6e-11 3.4e-13 5.3e-12 0.17 0.0046 0.015 37.0 14.0 15.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 18 34 4622 15.0 1.2 6.1 5.0 7.4 4.5 3.8e-10 2.0 1.1 3.8 4.6 2.0 53.0 9.6 14.0 8.3e-08 4.6e-11 5.1e-09 9.9 1.0 2.0 39.0 7.3 9.5 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 19 20 1673 59.0 1.9 6.0 11.0 46.0 2.7 4.3e-10 1.9 0.44 1.8 46.0 1.9 140.0 10.0 33.0 1.4e-07 1e-13 1.1e-08 2.3 0.0012 0.36 140.0 10.0 32.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 20 31 1628 34.0 1.5 13.0 3.1 32.0 2.3 1.6e-09 0.85 1.2 1.9 30.0 0.85 91.0 8.3 13.0 1.8e-08 2e-12 7.5e-10 4.9 0.1 0.4 81.0 7.9 13.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 21 90 9847 47.0 1.8 7.1 6.6 35.0 2.8 1.2e-08 1.3 3.7 2.5 26.0 1.3 120.0 14.0 22.0 2.6e-07 1.9e-10 1e-08 12.0 1.5 2.3 91.0 11.0 17.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 22 27 1156 19.0 2.9 2.5 16.0 18.0 3.9 9.8e-11 2.1 0.58 3.1 16.0 2.1 35.0 3.6 8.6 1.9e-10 1.2e-13 2.7e-11 3.6 0.13 0.46 34.0 2.9 7.3 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 23 78 29908 66.0 0.00021 5.7e-06 0.00011 91.0 1.7 6.9e-07 0.86 9.2 1.7 44.0 0.86 1100.0 80.0 170.0 0.14 2.7e-06 0.0081 500.0 13.0 46.0 540.0 31.0 75.0 True True False False True "> 35" True
"" x1465y1405z1400 nht 35.0 25 81 8570 25.0 1.1 25.0 2.7 31.0 2.5 4.2e-08 0.98 18.0 2.0 2.1 0.98 160.0 11.0 26.0 1.7e-05 4.7e-10 4.7e-07 81.0 4.2 12.0 12.0 1.7 2.7 True True False False True "> 35" True
"" x1465y1405z1400 nht 35.0 26 43 7510 75.0 1.8 13.0 4.0 76.0 2.2 8.8e-08 1.1 6.0 1.6 65.0 1.1 570.0 42.0 110.0 0.00087 7.4e-09 4.4e-05 82.0 1.6 9.8 400.0 38.0 87.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 27 137 9883 54.0 1.5 18.0 3.2 48.0 2.3 1.2e-06 0.66 9.4 1.6 33.0 0.66 190.0 13.0 22.0 2.7e-06 8.4e-11 4.6e-08 40.0 0.98 3.2 130.0 10.0 15.0 True False True False True "> 35" True
"" x1465y1405z1400 nht 35.0 28 41 4239 36.0 1.7 5.7 5.7 26.0 2.6 3.2e-09 1.4 8.1 2.3 8.9 1.4 110.0 4.3 18.0 5e-07 6.7e-12 3.1e-08 33.0 1.2 5.2 48.0 1.4 7.4 True True False False True "> 35" True
"" x1475y1390z1400 nht 35.0 0 34 2293 13.0 1.3 13.0 4.3 17.0 3.8 1.1e-08 0.84 1.5 3.2 14.0 0.84 55.0 10.0 13.0 1.5e-08 2.9e-11 5.7e-10 6.3 0.58 0.87 43.0 8.4 11.0 True False True False True "> 35" True
"" x1475y1390z1400 nht 35.0 1 19 1693 44.0 1.7 15.0 3.4 210.0 1.3 0.00037 0.52 400.0 0.86 17.0 0.52 50.0 11.0 14.0 2.7e-08 4.2e-11 1.5e-09 10.0 1.8 2.1 29.0 7.0 9.6 True False True False True "> 35" True
"" x1475y1390z1400 nht 35.0 3 294 80051 150.0 1.4 13.0 2.7 130.0 1.6 2.2e-05 0.93 55.0 1.5 23.0 0.93 10000.0 7.1 120.0 1.5 1.6e-10 0.012 5200.0 1.5 55.0 160.0 3.4 9.2 True True False False True "> 35" True
"" x1475y1390z1400 nht 35.0 5 96 5630 30.0 2.1 5.3 4.2 30.0 2.5 9.5e-09 1.1 6.2 2.4 19.0 1.1 78.0 12.0 16.0 3.5e-07 4.9e-11 1.1e-08 26.0 2.1 3.6 30.0 6.7 9.2 True True False False True "> 35" True
"" x1475y1390z1400 nht 35.0 6 62 4522 34.0 2.0 5.6 7.9 27.0 3.1 9.4e-09 1.3 6.5 2.5 14.0 1.3 120.0 24.0 32.0 1e-06 2.9e-09 6.9e-08 31.0 5.3 7.3 57.0 16.0 17.0 True True False False True "> 35" True
"" x1475y1390z1400 nht 35.0 7 142 12488 28.0 2.1 13.0 3.9 35.0 2.9 2.4e-09 1.7 4.1 2.6 28.0 1.7 120.0 13.0 17.0 7e-07 8e-11 1.5e-08 17.0 1.1 2.0 93.0 10.0 13.0 True False True False True "> 35" True
"" x1475y1390z1400 nht 35.0 8 21 1258 34.0 2.8 14.0 1.4 40.0 2.7 4.9e-07 0.77 13.0 2.1 18.0 0.77 47.0 24.0 22.0 2e-08 1.8e-09 3.7e-09 15.0 5.3 5.4 21.0 11.0 11.0 True True False False True "> 35" True
"" x1475y1390z1400 nht 35.0 9 17 1381 61.0 1.4 20.0 3.0 50.0 2.2 5.5e-06 0.53 3.3 1.4 47.0 0.53 110.0 19.0 32.0 5.9e-08 2.5e-11 5.9e-09 4.9 0.21 0.98 99.0 18.0 30.0 True False True False True "> 35" True
"" x1475y1390z1400 nht 35.0 10 50 2100 44.0 1.3 15.0 2.6 41.0 1.9 7.8e-10 1.5 1.8 1.7 37.0 1.5 29.0 4.1 6.3 5.2e-10 2.9e-13 1.9e-11 1.1 0.082 0.16 26.0 3.8 5.9 True False True False True "> 35" True
