Designation "Thresholded By (cm^-3)" "Threshold Level (cm^-3)" "Skeleton Index" "Length (pc)" "Mass (Solar)" "NHTOT a1" "NHTOT sigma 1" "NHTOT a2" "NHTOT sigma 2" "NHTOT a" "NHTOT sigma" "NCO a" "NCO sigma" "NH2 a" "NH2 sigma" "NH1 a" "NH1 sigma" "NHTOT Max (cm^-3)" "NHTOT Median (cm^-3)" "NHTOT Mean (cm^-3)" "NCO Max (cm^-3)" "NCO Median (cm^-3)" "NCO Mean (cm^-3)" "NH2 Max (cm^-3)" "NH2 Median (cm^-3)" "NH2 Mean (cm^-3)" "NH1 Max (cm^-3)" "NH1 Median (cm^-3)" "NH1 Mean (cm^-3)" "CO Dark?" Molecular? Atomic? "Core Shifted?" "Core Thresholded?" "Thresholded Core (cm^-3)" "First 2 pc ignored?"
x1465y1400z1395 nht 35.000000 0 36 2127 5.6e+01 1.6e+00 2.0e+00 5.8e+00 5.2e+01 1.7e+00 1.1e-08 9.8e-01 1.2e+01 1.6e+00 2.3e+01 9.8e-01 8.4e+01 3.2e+01 3.9e+01 1.7e-07 1.5e-09 2.0e-08 2.8e+01 6.8e+00 1.1e+01 3.1e+01 1.9e+01 1.8e+01 True True False False True "> 35" True
x1465y1400z1395 nht 35.000000 1 56 7551 2.4e+01 1.3e+00 1.4e+01 4.4e+00 2.0e+01 3.8e+00 6.6e-10 1.5e+00 2.0e+00 1.4e+00 1.9e+01 1.5e+00 2.6e+02 2.4e+01 4.7e+01 2.8e-02 2.3e-09 1.8e-03 3.5e+01 1.4e+00 4.4e+00 1.9e+02 2.3e+01 3.8e+01 True False True False True "> 35" True
x1465y1400z1395 nht 35.000000 2 41 1336 1.6e+01 1.2e-38 0.0e+00 0.0e+00 2.0e+00 6.1e+00 6.0e-14 2.1e+00 5.1e-02 2.3e+00 1.8e+00 2.1e+00 3.5e+01 4.9e+00 7.0e+00 9.0e-10 1.9e-13 2.6e-11 2.5e+00 6.0e-02 2.1e-01 3.0e+01 4.8e+00 6.3e+00 True False True False True "> 35" True
x1465y1400z1395 nht 35.000000 3 41 3209 2.4e+01 2.1e-06 1.3e-07 8.3e-07 1.0e+00 2.1e+00 2.4e-14 2.0e+00 2.4e-01 2.0e+00 3.5e-01 2.0e+00 7.2e+01 1.9e+00 5.7e+00 2.5e-07 2.1e-12 7.2e-09 3.5e+01 6.0e-01 2.5e+00 2.2e+00 4.1e-01 5.7e-01 True True False False True "> 35" True
